width,aspect_ratio,rim_dia,rim_width,load,pressure,speed,brand,pattern,compound,group,test_type,trial,mu_peak,slip_peak,mu_lock,date
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Wet,1,0.7980404689264018,0.1381516287006522,0.4778008926694903,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Wet,2,0.7574568916967526,0.2004179256515225,0.4349956984444278,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Wet,3,0.8262293180777135,0.09424956655048758,0.5193809044655557,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Wet,4,0.7892629065742812,0.0672210107419638,0.4233937681622311,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Wet,5,0.7710592618234733,0.09199303045628168,0.4823688220760457,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Wet,6,0.7887090850029892,0.1462507875350868,0.4990554325784078,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Dry,1,0.9886816942669652,0.218789839615209,0.7170706601218234,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Dry,2,1.012919153573694,0.1477547983266651,0.7213444232526327,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Dry,3,1.055000913502692,0.1075144984893683,0.6622652140918992,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Dry,4,0.9722882031517758,0.2292171637464284,0.6838559952778244,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Dry,5,0.9143117017488027,0.227725535512816,0.7409813921694044,2026-02-04
225,50,18,7.0,6000.0,200,64,GOODYEAR,ASSURANCE TRIPLEMAXX,,BM,Mu Slip - Dry,6,0.9384547935397967,0.1899896641737097,0.6710562303489942,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Wet,1,0.7969888616328288,0.1232956703136814,0.4404228915367925,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Wet,2,0.7893539782703339,0.07461102604546513,0.4241765235755436,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Wet,3,0.7635909201818942,0.1906348204029875,0.4332369115219405,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Wet,4,0.7942505811704136,0.07471059348649096,0.4005480316139286,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Wet,5,0.8578620561679695,0.1086961969823815,0.4688684439859274,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Wet,6,0.8040796736531515,0.1904317678042319,0.4437804718550128,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Dry,1,0.9842990207680418,0.1365152441034613,0.612392200310722,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Dry,2,0.9901409373227296,0.1620095073525693,0.6236764118145766,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Dry,3,1.0363318888551,0.1526486125361807,0.6728290622066437,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Dry,4,0.9983796017123151,0.2132248189437,0.6157545775052808,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Dry,5,0.9935610632910391,0.1880306281000576,0.6224743948485691,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540T,5C,Mu Slip - Dry,6,0.9895928956333314,0.225013207665594,0.6429022860977571,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Wet,1,0.7992328788202139,0.1260311388019107,0.4329675152269669,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Wet,2,0.7404480161581166,0.107515125186287,0.3949760459999886,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Wet,3,0.7229681909797301,0.1203459214340743,0.3859717817347015,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Wet,4,0.7396342197239811,0.1123156751154716,0.3972388916239126,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Wet,5,0.7518982458265165,0.08005013900761265,0.3610713460278535,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Wet,6,0.8113605937673756,0.08641932970003711,0.4465184612726766,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Dry,1,1.047537387376856,0.1081403827050984,0.6767621106627129,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Dry,2,0.9973927094921551,0.09309913631640224,0.689649811991186,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Dry,3,1.015753514745216,0.1163034756220611,0.6408279519249584,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Dry,4,0.9788942176600337,0.1621797597509237,0.6901751069577623,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Dry,5,1.010840776955626,0.1407715956503176,0.6934515511052841,2026-02-04
225,50,19,7.0,6000.0,200,64,Apollo,ASPIRE 5,ST540,5A,Mu Slip - Dry,6,1.008785300430237,0.1020627591706298,0.7072494172221033,2026-02-04
205,65,16,6.0,6768.900000000001,250,80,Apollo,APTERRA HLs,ST398,Regular,Mu Slip - Wet,1,0.8190936661552154,0.1097950107723706,0.5245348455075269,2026-01-29
